"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"log_q_a[13]",-0.0934214482709253,0.0122863472213522,1.08403353672776,-2.22784871080193,-0.752176833000096,-0.082643600138258,0.562082093889015,2.07742945569608,7784.66390450794,0.999978335223882
"log_q_a[14]",0.273969699195221,0.0122363743023678,1.13775862237161,-1.96693796832675,-0.44983874332491,0.269531066769784,0.976944267148899,2.53821777366918,8645.59255161951,0.999784824759795
"log_q_a[15]",-0.162356697124667,0.0122860382286185,1.08794540641046,-2.29142202763992,-0.839538947427793,-0.165297126815619,0.511556244152935,2.04287612228658,7841.34353449481,0.999720610807388
"log_q_a[16]",0.410639644626499,0.0122663609698817,1.09340685489019,-1.76821328791139,-0.26293715622559,0.415176630827082,1.07374019166342,2.62574004428255,7945.6988892645,0.99974058057595
"log_q_a[17]",0.180937332968028,0.0121678591119583,1.0689569324052,-1.94427929200155,-0.472780263441494,0.191819929614902,0.823710624397923,2.32936642065223,7717.77425340994,0.99992512575341
"log_q_a[18]",-0.419585979698514,0.0122181063480602,1.10664889532583,-2.60101972317745,-1.10715583715421,-0.415178048756272,0.264479661742738,1.80661206612961,8203.74037499658,0.999847761969639
"log_q_d[1]",0.564807514514148,0.0118187578278468,1.1033686921801,-1.71645780890884,-0.0966416432700576,0.557217996224088,1.2424832739889,2.77076637187904,8715.6071386675,0.999759953823541
"log_q_d[2]",0.143539121847918,0.0117228305863615,1.09661833253332,-2.12533640760376,-0.520980565264185,0.150090202692419,0.819709642709639,2.34511863624746,8750.76510143314,0.999960861473446
"log_q_d[3]",-0.387666505963206,0.0117203212870902,1.09170909477826,-2.61322221586201,-1.0539835555641,-0.376678355657597,0.274933329764104,1.81689199897446,8676.30524042738,0.999850132546388
"log_q_d[4]",-0.482820590609556,0.0124171042156063,1.13725102285998,-2.79443657492657,-1.17748715153692,-0.481022031651012,0.217990549360252,1.81026779881006,8388.26264038852,0.999918497546821
"log_q_d[5]",1.02760532481189,0.0122386028079356,1.11442192459003,-1.22433218480479,0.345818494841874,1.0294887127096,1.70923949959236,3.27790426085661,8291.54790761517,0.999832907036194
